,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Target
0,LP001032,Male,No,0,Graduate,No,4950,0.0,125,360,1,Urban,Y
1,LP001824,Male,Yes,1,Graduate,No,2882,1843.0,123,480,1,Semiurban,Y
2,LP002928,Male,Yes,0,Graduate,No,3000,3416.0,56,180,1,Semiurban,Y
3,LP001814,Male,Yes,2,Graduate,No,9703,0.0,112,360,1,Urban,Y
4,LP002244,Male,Yes,0,Graduate,No,2333,2417.0,136,360,1,Urban,Y
5,LP001854,Male,Yes,3+,Graduate,No,5250,0.0,94,360,1,Urban,N
6,LP002505,Male,Yes,0,Graduate,No,4333,2451.0,110,360,1,Urban,N
7,LP002862,Male,Yes,2,Not Graduate,No,6125,1625.0,187,480,1,Semiurban,N
8,LP001630,Male,No,0,Not Graduate,No,2333,1451.0,102,480,0,Urban,N
9,LP001964,Male,Yes,0,Not Graduate,No,1800,2934.0,93,360,0,Urban,N
10,LP001098,Male,Yes,0,Graduate,No,3500,1667.0,114,360,1,Semiurban,Y
11,LP002149,Male,Yes,2,Graduate,No,8333,3167.0,165,360,1,Rural,Y
12,LP002472,Male,No,2,Graduate,No,4354,0.0,136,360,1,Rural,Y
13,LP001647,Male,Yes,0,Graduate,No,9328,0.0,188,180,1,Rural,Y
14,LP001871,Female,No,0,Graduate,No,7200,0.0,120,360,1,Rural,Y
15,LP001379,Male,Yes,2,Graduate,No,3800,3600.0,216,360,0,Urban,N
16,LP002789,Male,Yes,0,Graduate,No,3593,4266.0,132,180,0,Rural,N
17,LP002842,Male,Yes,1,Graduate,No,3417,1750.0,186,360,1,Urban,Y
18,LP001491,Male,Yes,2,Graduate,Yes,3316,3500.0,88,360,1,Urban,Y
19,LP002031,Male,Yes,1,Not Graduate,No,3399,1640.0,111,180,1,Urban,Y
20,LP001578,Male,Yes,0,Graduate,No,2439,3333.0,129,360,1,Rural,Y
21,LP001318,Male,Yes,2,Graduate,No,6250,5654.0,188,180,1,Semiurban,Y
22,LP001259,Male,Yes,1,Graduate,Yes,1000,3022.0,110,360,1,Urban,N
23,LP002804,Female,Yes,0,Graduate,No,4180,2306.0,182,360,1,Semiurban,Y
24,LP001327,Female,Yes,0,Graduate,No,2484,2302.0,137,360,1,Semiurban,Y
25,LP001713,Male,Yes,1,Graduate,Yes,7787,0.0,240,360,1,Urban,Y
26,LP002990,Female,No,0,Graduate,Yes,4583,0.0,133,360,0,Semiurban,N
27,LP001811,Male,Yes,0,Not Graduate,No,3406,4417.0,123,360,1,Semiurban,Y
28,LP001891,Male,Yes,0,Graduate,No,11146,0.0,136,360,1,Urban,Y
29,LP002953,Male,Yes,3+,Graduate,No,5703,0.0,128,360,1,Urban,Y
30,LP001020,Male,Yes,1,Graduate,No,12841,10968.0,349,360,1,Semiurban,N
31,LP001144,Male,Yes,0,Graduate,No,5821,0.0,144,360,1,Urban,Y
32,LP002429,Male,Yes,1,Graduate,Yes,3466,1210.0,130,360,1,Rural,Y
33,LP002138,Male,Yes,0,Graduate,No,2625,6250.0,187,360,1,Rural,Y
34,LP001720,Male,Yes,3+,Not Graduate,No,3850,983.0,100,360,1,Semiurban,Y
35,LP002341,Female,No,1,Graduate,No,2600,0.0,160,360,1,Urban,N
36,LP002626,Male,Yes,0,Graduate,Yes,2479,3013.0,188,360,1,Urban,Y
37,LP002229,Male,No,0,Graduate,No,5941,4232.0,296,360,1,Semiurban,Y
38,LP001195,Male,Yes,0,Graduate,No,2132,1591.0,96,360,1,Semiurban,Y
39,LP001194,Male,Yes,2,Graduate,No,2708,1167.0,97,360,1,Semiurban,Y
40,LP002115,Male,Yes,3+,Not Graduate,No,2647,1587.0,173,360,1,Rural,N
41,LP001369,Male,Yes,2,Graduate,No,11417,1126.0,225,360,1,Urban,Y
42,LP001497,Male,Yes,2,Graduate,No,5042,2083.0,185,360,1,Rural,N
43,LP002807,Male,Yes,2,Not Graduate,No,3675,242.0,108,360,1,Semiurban,Y
44,LP001633,Male,Yes,1,Graduate,No,6400,7250.0,180,360,0,Urban,N
45,LP001877,Male,Yes,2,Graduate,No,4708,1387.0,150,360,1,Semiurban,Y
46,LP002690,Male,No,0,Graduate,No,2500,0.0,55,360,1,Semiurban,Y
47,LP001924,Male,No,0,Graduate,No,3158,3053.0,89,360,1,Rural,Y
48,LP002390,Male,No,0,Graduate,No,3750,0.0,100,360,1,Urban,Y
49,LP002541,Male,Yes,0,Graduate,No,10833,0.0,234,360,1,Semiurban,Y
