movieId,title,year,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
1,Toy Story ,1995,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2,Jumanji ,1995,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
3,Grumpier Old Men ,1995,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
4,Waiting to Exhale ,1995,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
5,Father of the Bride Part II ,1995,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,Heat ,1995,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
7,Sabrina ,1995,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
8,Tom and Huck ,1995,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,Sudden Death ,1995,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,GoldenEye ,1995,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
11,"American President, The ",1995,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
12,Dracula: Dead and Loving It ,1995,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
13,Balto ,1995,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,Nixon ,1995,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
15,Cutthroat Island ,1995,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
16,Casino ,1995,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
17,Sense and Sensibility ,1995,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
18,Four Rooms ,1995,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,Ace Ventura: When Nature Calls ,1995,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,Money Train ,1995,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False
21,Get Shorty ,1995,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
22,Copycat ,1995,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False
23,Assassins ,1995,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
24,Powder ,1995,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
25,Leaving Las Vegas ,1995,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
26,Othello ,1995,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
27,Now and Then ,1995,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
28,Persuasion ,1995,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
29,"City of Lost Children, The (Cité des enfants perdus, La) ",1995,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False
30,Shanghai Triad (Yao a yao yao dao waipo qiao) ,1995,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
31,Dangerous Minds ,1995,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
32,Twelve Monkeys (a.k.a. 12 Monkeys) ,1995,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False
34,Babe ,1995,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
36,Dead Man Walking ,1995,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
38,It Takes Two ,1995,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,Clueless ,1995,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
40,"Cry, the Beloved Country ",1995,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
41,Richard III ,1995,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
42,Dead Presidents ,1995,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
43,Restoration ,1995,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
