"Indicator","Data Source","PUBLISH STATES","Year","WHO region","Country","Beverage Types","Display Value","Numeric","Low","High","Comments"
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2003","Europe","Slovenia","Wine","3.49","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1999","Europe","The former Yugoslav Republic of Macedonia","Beer","1.92","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2008","Europe","Turkmenistan","Spirits","1.19","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2006","Europe","Belarus","All","12.62","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2006","Europe","Czech Republic","Wine","2.3","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2010","Europe","Ukraine","Wine","0.76","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2010","Europe","United Kingdom","All","10.26","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2003","Europe","Turkmenistan","Beer","0.17","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1997","Europe","The former Yugoslav Republic of Macedonia","Beer","1.69","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2004","Europe","Sweden","Wine","2.8","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2010","Europe","Czech Republic","Beer","6.79","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1998","Europe","Cyprus","Spirits","3.21","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2005","Europe","Hungary","Spirits","4.14","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2003","Europe","Finland","All","9.31","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2005","Europe","Greece","All","9.24","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2008","Europe","Armenia","Spirits","3.21","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2005","Europe","Malta","Beer","1.76","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1993","Europe","Estonia","All","8.1","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2005","Europe","Georgia","Spirits","1.31","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1993","Europe","San Marino","Other alcoholic beverages","","","","","missing data"
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1998","Europe","Georgia","All","2.09","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1993","Europe","Kazakhstan","Spirits","9.35","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2000","Europe","Greece","Beer","2.4","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1997","Europe","Estonia","Beer","2.72","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1990","Europe","Denmark","Spirits","1.58","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2003","Europe","Denmark","Other alcoholic beverages","","","","","missing data"
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1997","Europe","Georgia","Other alcoholic beverages","","","","","missing data"
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2004","Europe","Israel","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2006","Europe","Latvia","Beer","4.09","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2001","Europe","Turkey","Spirits","0.69","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2001","Europe","United Kingdom","Other alcoholic beverages","0.64","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2007","Europe","Albania","Spirits","2.39","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2010","Europe","Montenegro","Beer","0.72","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2009","Europe","Estonia","Wine","1.06","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2001","Europe","Estonia","All","9.22","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1998","Europe","Cyprus","Wine","2.03","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1998","Europe","Kyrgyzstan","All","3.31","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1992","Europe","Hungary","Beer","5.81","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2003","Europe","Ireland","Wine","2.12","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2005","Europe","Netherlands","Spirits","1.6","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2002","Europe","Latvia","Beer","2.74","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2004","Europe","Lithuania","Wine","2.37","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2005","Europe","Republic of Moldova","Wine","0.27","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2005","Europe","Romania","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2002","Europe","Armenia","All","2.85","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2004","Europe","Switzerland","Spirits","1.93","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2000","Europe","Ukraine","Wine","0.36","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2004","Europe","Republic of Moldova","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2003","Europe","Russian Federation","All","11.26","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2005","Europe","Slovakia","All","11.06","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1992","Europe","Kazakhstan","Beer","1.04","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2008","Europe","Denmark","Spirits","1.67","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2000","Europe","Croatia","All","12.69","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2001","Europe","Greece","Beer","2.35","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1996","Europe","Finland","All","8.24","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1993","Europe","Luxembourg","Spirits","2.89","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2006","Europe","Belarus","Wine","0.77","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2003","Europe","Turkmenistan","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1998","Europe","Israel","Wine","0.25","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1994","Europe","Turkmenistan","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2011","Europe","Germany","All","10.97","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1990","Europe","Belarus","Wine","1.28","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1996","Europe","Romania","Wine","3.8","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1999","Europe","Denmark","All","11.62","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2010","Europe","Bosnia and Herzegovina","Beer","3.16","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1995","Europe","Hungary","Spirits","4.15","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2007","Europe","Portugal","Other alcoholic beverages","0.35","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1999","Europe","Austria","All","12.8","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1997","Europe","Ireland","Wine","1.2","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2010","Europe","San Marino","Other alcoholic beverages","","","","","missing data"
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2008","Europe","Bosnia and Herzegovina","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1997","Europe","Portugal","Spirits","0.71","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1991","Europe","Luxembourg","Other alcoholic beverages","","","","","missing data"
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2009","Europe","Uzbekistan","Other alcoholic beverages","","","","","missing data"
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1995","Europe","Luxembourg","Spirits","2.82","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2009","Europe","Serbia","Spirits","2.42","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2010","Europe","Luxembourg","Other alcoholic beverages","","","","","missing data"
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2000","Europe","The former Yugoslav Republic of Macedonia","All","5.03","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2005","Europe","Azerbaijan","Spirits","0.52","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1993","Europe","Poland","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1994","Europe","Georgia","Spirits","0.42","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2010","Europe","Netherlands","Spirits","1.58","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1991","Europe","Armenia","Spirits","0.85","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2008","Europe","Albania","Spirits","2.38","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1998","Europe","Kazakhstan","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2005","Europe","The former Yugoslav Republic of Macedonia","Wine","1.6","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1994","Europe","Denmark","Other alcoholic beverages","","","","","missing data"
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1997","Europe","Luxembourg","Spirits","2.71","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1994","Europe","Bosnia and Herzegovina","Other alcoholic beverages","","","","","missing data"
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2010","Europe","France","Other alcoholic beverages","0.2","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1999","Europe","Netherlands","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1992","Europe","Italy","Wine","7.87","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1996","Europe","Austria","Spirits","2.3","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1997","Europe","The former Yugoslav Republic of Macedonia","All","5.53","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2002","Europe","Andorra","Spirits","7.27","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1991","Europe","Croatia","All","13.69","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1999","Europe","Georgia","Spirits","0.02","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2001","Europe","Turkmenistan","Wine","0.98","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2009","Europe","Albania","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2003","Europe","Ukraine","Beer","1.96","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2011","Europe","Romania","All","9.1","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2003","Europe","Netherlands","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2000","Europe","Luxembourg","Wine","5.88","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2002","Europe","Czech Republic","Wine","1.86","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2006","Europe","Kyrgyzstan","Beer","0.59","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2010","Europe","Slovenia","Spirits","0.89","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1996","Europe","San Marino","Spirits","","","","","missing data"
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1994","Europe","Sweden","Wine","1.78","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2007","Europe","Republic of Moldova","Wine","0.42","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1996","Europe","Ireland","Wine","1.08","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2002","Europe","Austria","Beer","6.6","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2008","Europe","Poland","Spirits","4.1","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2007","Europe","Latvia","Other alcoholic beverages","0.88","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2000","Europe","Republic of Moldova","Wine","2.27","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2007","Europe","Finland","Other alcoholic beverages","1.25","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1993","Europe","Luxembourg","Beer","4.96","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2003","Europe","The former Yugoslav Republic of Macedonia","Spirits","1.97","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1991","Europe","Armenia","All","2.98","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1996","Europe","Ukraine","Other alcoholic beverages","0.04","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1992","Europe","Albania","Wine","0.67","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2007","Europe","Kyrgyzstan","Other alcoholic beverages","0.01","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1991","Europe","Hungary","All","15.43","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1998","Europe","Belarus","Other alcoholic beverages","2.25","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1996","Europe","Belgium","Wine","3.35","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2000","Europe","Spain","Spirits","2.81","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1990","Europe","Azerbaijan","Beer","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2002","Europe","Israel","Spirits","1.29","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2004","Europe","Republic of Moldova","Spirits","5.34","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2006","Europe","Italy","Wine","4.89","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1994","Europe","Czech Republic","All","13.82","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2005","Europe","Switzerland","Beer","3.12","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2006","Europe","Israel","Beer","0.78","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2007","Europe","France","Spirits","2.7","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2003","Europe","San Marino","Wine","","","","","missing data"
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2010","Europe","Ireland","Spirits","2.23","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2000","Europe","Spain","Wine","4.12","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1999","Europe","Bosnia and Herzegovina","Beer","1.59","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2004","Europe","Kyrgyzstan","All","3.3","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1992","Europe","Italy","All","10.55","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1999","Europe","Republic of Moldova","Wine","2.41","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1998","Europe","Croatia","Beer","4.38","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1997","Europe","Norway","Other alcoholic beverages","0.04","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1994","Europe","Armenia","Wine","1.26","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1994","Europe","Estonia","Other alcoholic beverages","0.03","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1995","Europe","Albania","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2000","Europe","Turkmenistan","Beer","0.08","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2007","Europe","Georgia","Wine","3.02","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2008","Europe","United Kingdom","All","10.35","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1993","Europe","Romania","Spirits","2.38","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1994","Europe","Azerbaijan","All","1.37","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1990","Europe","Lithuania","All","7.05","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2001","Europe","Ukraine","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2006","Europe","Denmark","Spirits","1.7","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1993","Europe","Belarus","Beer","1.24","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2010","Europe","Luxembourg","Spirits","2.39","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2005","Europe","Estonia","Spirits","5.3","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2008","Europe","Slovakia","Spirits","5.57","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1999","Europe","Czech Republic","Beer","7.78","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2006","Europe","Croatia","Beer","4.77","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2004","Europe","Russian Federation","Spirits","7.06","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2009","Europe","Slovakia","Other alcoholic beverages","0.6","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2000","Europe","United Kingdom","Wine","2.8","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2008","Europe","Switzerland","Spirits","1.9","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2005","Europe","Estonia","Beer","5.04","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1996","Europe","Poland","Spirits","3.72","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2009","Europe","Germany","All","11.23","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1994","Europe","Netherlands","Spirits","2.17","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1993","Europe","Latvia","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1993","Europe","Slovakia","Wine","2.06","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1992","Europe","Slovenia","Spirits","0.47","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2005","Europe","Switzerland","Spirits","1.8","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1994","Europe","Tajikistan","Wine","0.39","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2008","Europe","Israel","All","2.4","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2000","Europe","Turkmenistan","Wine","1.52","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1998","Europe","Romania","Spirits","1.15","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2009","Europe","Tajikistan","All","0.32","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2002","Europe","Cyprus","Beer","3.01","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1990","Europe","Estonia","All","9.84","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2009","Europe","Greece","Spirits","2.31","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1998","Europe","Italy","All","8.98","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2001","Europe","The former Yugoslav Republic of Macedonia","Beer","1.83","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1995","Europe","Switzerland","Other alcoholic beverages","0.12","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2003","Europe","Armenia","Wine","0.12","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1993","Europe","France","Beer","2.44","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1993","Europe","Denmark","All","11.89","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2010","Europe","Estonia","Beer","4.68","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2005","Europe","Slovakia","Spirits","5.41","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2006","Europe","Italy","Spirits","0.85","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2004","Europe","Ukraine","Spirits","4.06","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1994","Europe","Ireland","Spirits","2.14","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2004","Europe","Cyprus","Wine","2.45","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1999","Europe","Iceland","Wine","1.16","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1993","Europe","Spain","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2009","Europe","Cyprus","Spirits","2.92","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1999","Europe","Greece","Spirits","2.31","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2005","Europe","Greece","Beer","2.2","","","",""
