"region";"subregion";"subid";"name";"party";"votes";"votes %"
"BUDAPEST";"Budapest V. kerület";"2";"Csárdi Antal";"LMP";"23345";"48.73"
"BUDAPEST";"Budapest V. kerület";"3";"Váradiné Naszályi Márta";"MSZP-PÁRBESZÉD";"0";"0.0"
"BUDAPEST";"Budapest V. kerület";"5";"Hollik István";"FIDESZ-KDNP";"20031";"41.81"
"BUDAPEST";"Budapest V. kerület";"6";"Fekete-Győr András";"MOMENTUM";"0";"0.0"
"BUDAPEST";"Budapest V. kerület";"7";"Horváth András";"MKKP";"1474";"3.08"
"BUDAPEST";"Budapest V. kerület";"8";"Losonczy Pál";"JOBBIK";"3060";"6.39"
"BUDAPEST";"Budapest V. kerület";"9";"Juhász Péter";"EGYÜTT";"0";"0.0"
"BUDAPEST";"Budapest XI. kerület";"1";"Benyovszky Gábor";"MUNKÁSPÁRT";"248";"0.45"
"BUDAPEST";"Budapest XI. kerület";"2";"Fischer Roland";"MKKP";"990";"1.78"
"BUDAPEST";"Budapest XI. kerület";"3";"Kreitler-Sas Máté";"LMP";"3384";"6.1"
"BUDAPEST";"Budapest XI. kerület";"4";"Gy. Németh Erzsébet";"DK";"22494";"40.53"
"BUDAPEST";"Budapest XI. kerület";"6";"Dr. Simicskó István";"FIDESZ-KDNP";"23403";"42.16"
"BUDAPEST";"Budapest XI. kerület";"11";"Dr. Bardócz-Tódor András";"JOBBIK";"3252";"5.86"
"BUDAPEST";"Budapest XI. kerület";"13";"Bedő Dávid";"MOMENTUM";"1540";"2.77"
"BUDAPEST";"Budapest XI. kerület";"18";"Kóber György";"EGYÜTT";"0";"0.0"
"BUDAPEST";"Budapest XI. kerület";"23";"Petre-Varga Fruzsina Zsuzsanna";"SEM";"195";"0.35"
"BUDAPEST";"Budapest XII. kerület";"1";"Bényi Hajnal";"EGYÜTT";"0";"0.0"
"BUDAPEST";"Budapest XII. kerület";"2";"Gyöngyösi Márton";"JOBBIK";"3142";"5.79"
"BUDAPEST";"Budapest XII. kerület";"3";"Kovács Gergely";"MKKP";"1530";"2.82"
"BUDAPEST";"Budapest XII. kerület";"4";"Gulyás Gergely";"FIDESZ-KDNP";"23173";"42.71"
"BUDAPEST";"Budapest XII. kerület";"5";"Kádár Barnabás Áron";"MOMENTUM";"1449";"2.67"
"BUDAPEST";"Budapest XII. kerület";"7";"Bauer Tamás";"DK";"21176";"39.03"
"BUDAPEST";"Budapest XII. kerület";"8";"Hajdu Mária";"LMP";"3787";"6.98"
"BUDAPEST";"Budapest II. kerület";"2";"Juhász Veronika";"MKKP";"1044";"1.8"
"BUDAPEST";"Budapest II. kerület";"3";"Ungár Péter";"LMP";"5848";"10.1"
"BUDAPEST";"Budapest II. kerület";"4";"Mihalik Zoltán";"EGYÜTT";"0";"0.0"
"BUDAPEST";"Budapest II. kerület";"5";"Arató István";"MUNKÁSPÁRT";"167";"0.29"
"BUDAPEST";"Budapest II. kerület";"6";"Benedek Márton";"MOMENTUM";"1538";"2.66"
"BUDAPEST";"Budapest II. kerület";"7";"Varga Mihály";"FIDESZ-KDNP";"24208";"41.82"
"BUDAPEST";"Budapest II. kerület";"8";"Kovács Tamás";"JOBBIK";"3585";"6.19"
"BUDAPEST";"Budapest II. kerület";"9";"Niedermüller Péter";"DK";"21496";"37.14"
"BUDAPEST";"Budapest VII. kerület";"3";"Dr. Oláh Lajos";"DK";"20598";"45.85"
"BUDAPEST";"Budapest VII. kerület";"5";"Moldován László";"LMP";"3055";"6.8"
"BUDAPEST";"Budapest VII. kerület";"6";"Dr. Bokros Lajos";"MODERN MAGYARORSZÁG MOZGALOM (MOMA)";"0";"0.0"
"BUDAPEST";"Budapest VII. kerület";"9";"Dr. Bajkai István";"FIDESZ-KDNP";"16687";"37.14"
"BUDAPEST";"Budapest VII. kerület";"12";"Döme Zsuzsanna";"MKKP";"1414";"3.15"
"BUDAPEST";"Budapest VII. kerület";"13";"Soproni Tamás";"MOMENTUM";"0";"0.0"
"BUDAPEST";"Budapest VII. kerület";"16";"Stummer János";"JOBBIK";"3171";"7.06"
"BUDAPEST";"Budapest VIII. kerület";"1";"Jakabfy Tamás";"LMP";"2582";"5.56"
"BUDAPEST";"Budapest VIII. kerület";"3";"Mischinger Péterné";"KÖZÖS NEVEZŐ";"0";"0.0"
"BUDAPEST";"Budapest VIII. kerület";"6";"Baranyi Krisztina";"EGYÜTT";"1454";"3.13"
"BUDAPEST";"Budapest VIII. kerület";"9";"Jakab Tamás";"MIÉP";"105";"0.23"
"BUDAPEST";"Budapest VIII. kerület";"13";"Konczos László József";"MUNKÁSPÁRT";"222";"0.48"
"BUDAPEST";"Budapest VIII. kerület";"14";"Dr. Cseh Katalin";"MOMENTUM";"1190";"2.56"
"BUDAPEST";"Budapest VIII. kerület";"16";"Dúró Dóra";"JOBBIK";"6001";"12.92"
"BUDAPEST";"Budapest VIII. kerület";"21";"Schauber Krisztina";"KÖSSZ";"39";"0.08"
"BUDAPEST";"Budapest VIII. kerület";"22";"Dr. Suda Dezső";"IRÁNYTŰ";"33";"0.07"
"BUDAPEST";"Budapest VIII. kerület";"23";"Racskó Gábor";"MKKP";"1065";"2.29"
"BUDAPEST";"Budapest VIII. kerület";"24";"Ara-Kovács Attila";"DK";"14947";"32.17"
"BUDAPEST";"Budapest VIII. kerület";"25";"Kocsis Máté";"FIDESZ-KDNP";"18818";"40.51"
"BUDAPEST";"Budapest XIII. kerület";"4";"Hiszékeny Dezső";"MSZP-PÁRBESZÉD";"33412";"56.48"
"BUDAPEST";"Budapest XIII. kerület";"6";"Sebő Ferenc";"MKKP";"1337";"2.26"
"BUDAPEST";"Budapest XIII. kerület";"11";"Kerékgyártó István";"LMP";"2447";"4.14"
"BUDAPEST";"Budapest XIII. kerület";"13";"Hajnal Miklós";"MOMENTUM";"1520";"2.57"
"BUDAPEST";"Budapest XIII. kerület";"18";"Harrach Tamás";"FIDESZ-KDNP";"16854";"28.49"
"BUDAPEST";"Budapest XIII. kerület";"23";"Magvasi Adrián";"JOBBIK";"3591";"6.07"
"BUDAPEST";"Budapest XIV. kerület";"2";"Szücs Attila";"MOMENTUM";"1771";"3.02"
"BUDAPEST";"Budapest XIV. kerület";"9";"Szávay István";"JOBBIK";"4492";"7.65"
"BUDAPEST";"Budapest XIV. kerület";"10";"Szentpáli Kolos";"MUNKÁSPÁRT";"209";"0.36"
"BUDAPEST";"Budapest XIV. kerület";"11";"Barta János";"LMP";"2410";"4.1"
"BUDAPEST";"Budapest XIV. kerület";"12";"Dr. Jelen Tamás";"FIDESZ-KDNP";"20588";"35.06"
"BUDAPEST";"Budapest XIV. kerület";"13";"Tóth Csaba";"MSZP-PÁRBESZÉD";"27736";"47.23"
"BUDAPEST";"Budapest XIV. kerület";"15";"Victora Zsolt";"MKKP";"1518";"2.58"
"BUDAPEST";"Budapest X. kerület";"1";"Kara Sándor";"IRÁNYTŰ";"58";"0.11"
"BUDAPEST";"Budapest X. kerület";"3";"Pálfi Margit Erzsébet";"KÖZÖS NEVEZŐ";"81";"0.15"
"BUDAPEST";"Budapest X. kerület";"7";"Dr. György István";"FIDESZ-KDNP";"21222";"39.32"
"BUDAPEST";"Budapest X. kerület";"12";"Tölcsér Borbála";"MOMENTUM";"1139";"2.11"
"BUDAPEST";"Budapest X. kerület";"17";"Závoczki Tibor";"MIÉP";"114";"0.21"
"BUDAPEST";"Budapest X. kerület";"19";"Burány Sándor";"MSZP-PÁRBESZÉD";"22010";"40.78"
"BUDAPEST";"Budapest X. kerület";"21";"Kerezsi László";"MUNKÁSPÁRT";"223";"0.41"
"BUDAPEST";"Budapest X. kerület";"23";"Postásné Balázs Ildikó Ilona";"LENDÜLETTEL";"34";"0.06"
"BUDAPEST";"Budapest X. kerület";"25";"Tubák István";"JOBBIK";"5437";"10.07"
"BUDAPEST";"Budapest X. kerület";"26";"Demeter Márta";"LMP";"3522";"6.53"
"BUDAPEST";"Budapest X. kerület";"29";"Kovács Csaba";"NEMZET ÉS BÉKE";"68";"0.13"
"BUDAPEST";"Budapest X. kerület";"31";"Lantos Tivadar";"HAJRÁ MAGYARORSZÁG!";"68";"0.13"
"BUDAPEST";"Budapest III. kerület";"1";"Pataki Márton";"EGYÜTT";"0";"0.0"
"BUDAPEST";"Budapest III. kerület";"7";"Póznik György Csaba";"IRÁNYTŰ";"139";"0.25"
"BUDAPEST";"Budapest III. kerület";"9";"Zsiga-Kárpát Dániel";"JOBBIK";"6070";"10.82"
"BUDAPEST";"Budapest III. kerület";"11";"Petővári Rolland";"HAJRÁ MAGYARORSZÁG!";"127";"0.23"
"BUDAPEST";"Budapest III. kerület";"13";"Papp László Árpád";"LENDÜLETTEL";"141";"0.25"
"BUDAPEST";"Budapest III. kerület";"14";"Menczer Erzsébet";"FIDESZ-KDNP";"20403";"36.36"
"BUDAPEST";"Budapest III. kerület";"15";"Szabó Timea";"MSZP-PÁRBESZÉD";"27017";"48.15"
"BUDAPEST";"Budapest III. kerület";"17";"Donáth Anna Júlia";"MOMENTUM";"2213";"3.94"
"BUDAPEST";"Budapest III. kerület";"20";"Dr. Ábrahám Júlia";"LMP";"0";"0.0"
"BUDAPEST";"Budapest IV. kerület";"1";"Horváth Imre";"Független jelölt";"1332";"2.34"
