region,subregion,name,party,votes,winner
BARANYA,Mohács,DR. HARGITAI JÁNOS,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,28172.0,True
BARANYA,Mohács,SCHWARCZ-KIEFER PATRIK,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,13954.0,False
BARANYA,Mohács,BERNÁTH CSILLA,MI HAZÁNK MOZGALOM,3448.0,False
BARANYA,Mohács,DÖBREI ISTVÁN,MEGOLDÁS MOZGALOM,826.0,False
BARANYA,Mohács,KÓS ZOLTÁN,MAGYAR MUNKÁSPÁRT-IGEN SZOLIDARITÁS MAGYARORSZÁGÉRT MOZGALOM,213.0,False
BARANYA,Pécs 1,DR. MELLÁR TAMÁS,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,22710.0,True
BARANYA,Pécs 1,KŐVÁRI JÁNOS,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,21557.0,False
BARANYA,Pécs 1,VARGA TAMÁS,MI HAZÁNK MOZGALOM,2779.0,False
BARANYA,Pécs 1,NAGY RICHÁRD,MAGYAR KÉTFARKÚ KUTYA PÁRT,2103.0,False
BARANYA,Pécs 1,BOGNÁR SZILVIA,Független jelölt,1521.0,False
BARANYA,Pécs 1,PALKÓ ÁDÁM,MEGOLDÁS MOZGALOM,422.0,False
BARANYA,Pécs 1,HIRTH JÓZSEF,NORMÁLIS ÉLET PÁRTJA,391.0,False
BARANYA,Pécs 1,SUGÁR GYÖRGY,MAGYAR MUNKÁSPÁRT-IGEN SZOLIDARITÁS MAGYARORSZÁGÉRT MOZGALOM,114.0,False
BARANYA,Pécs 2,DR. HOPPÁL PÉTER,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,22898.0,True
BARANYA,Pécs 2,DR. SZAKÁCS LÁSZLÓ,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,21226.0,False
BARANYA,Pécs 2,IPACS SÁNDOR,MI HAZÁNK MOZGALOM,2829.0,False
BARANYA,Pécs 2,MARTOS CSONGOR,MAGYAR KÉTFARKÚ KUTYA PÁRT,2099.0,False
BARANYA,Pécs 2,HENCSEI ZSOLT,Független jelölt,837.0,False
BARANYA,Pécs 2,DR. JUHÁSZ GÁBOR,MEGOLDÁS MOZGALOM,635.0,False
BARANYA,Pécs 2,ÁRVAINÉ BEHÁN ZSUZSANNA,NORMÁLIS ÉLET PÁRTJA,543.0,False
BARANYA,Pécs 2,SZILÁGYI LÁSZLÓ CSABA,MAGYAR MUNKÁSPÁRT-IGEN SZOLIDARITÁS MAGYARORSZÁGÉRT MOZGALOM,489.0,False
BARANYA,Szigetvár,NAGY CSABA,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,29403.0,True
BARANYA,Szigetvár,SZARKÁNDI LAJOSNÉ,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,13835.0,False
BARANYA,Szigetvár,ÁCS JÓZSEF,MI HAZÁNK MOZGALOM,2575.0,False
BARANYA,Szigetvár,MOLNÁR-FULMER GERGELY,MAGYAR KÉTFARKÚ KUTYA PÁRT,1215.0,False
BARANYA,Szigetvár,KÁRPÁTI ZOLTÁN,Független jelölt,760.0,False
BARANYA,Szigetvár,VIG AURÉL BENCE,MEGOLDÁS MOZGALOM,352.0,False
BARANYA,Szigetvár,GÁL JÓZSEF,A MI PÁRTUNK - IMA,0.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Kazincbarcika,DEMETER ZOLTÁN,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,24636.0,True
BORSOD-ABAÚJ-ZEMPLÉN,Kazincbarcika,ÜVEGES GÁBOR,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,15648.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Kazincbarcika,DR. FISZTER ZSUZSANNA,MI HAZÁNK MOZGALOM,3276.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Kazincbarcika,GALÁN MÁTÉ,MAGYAR KÉTFARKÚ KUTYA PÁRT,856.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Kazincbarcika,ENDRE LÁSZLÓ ANDRÁS,MEGOLDÁS MOZGALOM,256.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Kazincbarcika,PETŐ KRISZTIÁN,NORMÁLIS ÉLET PÁRTJA,252.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Kazincbarcika,SZÁNTÓ SZABOLCS,ZÖLDEK PÁRTJA,208.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Kazincbarcika,MENYHÉRT ROLAND,MAGYAR MUNKÁSPÁRT-IGEN SZOLIDARITÁS MAGYARORSZÁGÉRT MOZGALOM,92.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Kazincbarcika,KÓTAI GYULA,A MI PÁRTUNK - IMA,69.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Mezőkövesd,TÁLLAI ANDRÁS,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,29907.0,True
BORSOD-ABAÚJ-ZEMPLÉN,Mezőkövesd,SERMER ÁDÁM,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,13343.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Mezőkövesd,SZAJLAI JÁNOS,MI HAZÁNK MOZGALOM,3721.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Mezőkövesd,BLAU SÁNDOR,MAGYAR KÉTFARKÚ KUTYA PÁRT,1000.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Mezőkövesd,KERTÉSZ GYULA,MEGOLDÁS MOZGALOM,592.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Mezőkövesd,KOVÁCS LÁSZLÓ,NORMÁLIS ÉLET PÁRTJA,335.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Mezőkövesd,NÓTÁR ZOLTÁN,Független jelölt,230.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Mezőkövesd,FARKAS ÉVA,Független jelölt,177.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Mezőkövesd,KÓRÓDI PÉTER,MAGYAR MUNKÁSPÁRT-IGEN SZOLIDARITÁS MAGYARORSZÁGÉRT MOZGALOM,103.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Mezőkövesd,NÓTÁR BALÁZS MÁTÉ,Független jelölt,90.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Miskolc 1,CSÖBÖR KATALIN,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,22978.0,True
BORSOD-ABAÚJ-ZEMPLÉN,Miskolc 1,SZILÁGYI SZABOLCS,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,20442.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Miskolc 1,DUZSIK ISTVÁN,MI HAZÁNK MOZGALOM,3266.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Miskolc 1,PÁSTI GABRIELLA,MAGYAR KÉTFARKÚ KUTYA PÁRT,1289.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Miskolc 1,HALMI BENCE ISTVÁN,MEGOLDÁS MOZGALOM,1016.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Miskolc 1,LOUKOTA ZOLTÁNNÉ,NORMÁLIS ÉLET PÁRTJA,296.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Miskolc 1,KILIÁN BÉLA,MAGYAR MUNKÁSPÁRT-IGEN SZOLIDARITÁS MAGYARORSZÁGÉRT MOZGALOM,129.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Miskolc 2,DR. KISS JÁNOS,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,20602.0,True
BORSOD-ABAÚJ-ZEMPLÉN,Miskolc 2,DR. VARGA LÁSZLÓ,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,20110.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Miskolc 2,PAKUSZA ZOLTÁN,MI HAZÁNK MOZGALOM,3977.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Miskolc 2,KISS GÁBOR,MAGYAR KÉTFARKÚ KUTYA PÁRT,1278.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Miskolc 2,SIMKÓ ISTVÁN TAMÁS,MEGOLDÁS MOZGALOM,551.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Miskolc 2,SZEKERES ANITA,NORMÁLIS ÉLET PÁRTJA,309.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Miskolc 2,FÜLÖP JÓZSEF ISTVÁNNÉ,MAGYAR MUNKÁSPÁRT-IGEN SZOLIDARITÁS MAGYARORSZÁGÉRT MOZGALOM,157.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Sátoraljaújhely,DR. HÖRCSIK RICHÁRD,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,27335.0,True
BORSOD-ABAÚJ-ZEMPLÉN,Sátoraljaújhely,ERDEI SÁNDOR ZSOLT,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,13526.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Sátoraljaújhely,PASZTORNICZKY ISTVÁN,MI HAZÁNK MOZGALOM,2614.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Sátoraljaújhely,VINCZE TAMÁS,MAGYAR KÉTFARKÚ KUTYA PÁRT,736.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Sátoraljaújhely,ORNYIK RÓBERT,MEGOLDÁS MOZGALOM,257.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Sátoraljaújhely,VARGA ZOLTÁN,NORMÁLIS ÉLET PÁRTJA,206.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Sátoraljaújhely,STEFÁN GÁBOR,Független jelölt,180.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Sátoraljaújhely,BALOGH RÓBERT,Független jelölt,169.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Sátoraljaújhely,GLONCI BÉLA,MAGYAR MUNKÁSPÁRT-IGEN SZOLIDARITÁS MAGYARORSZÁGÉRT MOZGALOM,83.0,False
BORSOD-ABAÚJ-ZEMPLÉN,Tiszaújváros,DR. KONCZ ZSÓFIA,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,29737.0,True
