"region";"subregion";"subid";"name";"party";"votes";"votes %"
"BUDAPEST";"Budapest V.ker.";"2";"Szöllősi Istvánné";"SZOCIÁLDEMOKRATÁK";"321";"0.68"
"BUDAPEST";"Budapest V.ker.";"3";"Schiffer András";"LMP";"6482";"13.65"
"BUDAPEST";"Budapest V.ker.";"4";"Rogán Antal";"FIDESZ-KDNP";"21503";"45.29"
"BUDAPEST";"Budapest V.ker.";"5";"Hegedűs Lóránt Gézáné";"JOBBIK";"3713";"7.82"
"BUDAPEST";"Budapest V.ker.";"6";"Kerék-Bárczy Szabolcs";"MSZP-EGYÜTT-DK-PM-MLP";"15459";"32.56"
"BUDAPEST";"Budapest XI.ker.";"1";"Novák Előd Attila";"JOBBIK";"4291";"8.02"
"BUDAPEST";"Budapest XI.ker.";"2";"Dr. Simicskó István";"FIDESZ-KDNP";"23963";"44.78"
"BUDAPEST";"Budapest XI.ker.";"3";"Nagy Péter";"JESZ";"207";"0.39"
"BUDAPEST";"Budapest XI.ker.";"4";"Csárdi Antal";"LMP";"4615";"8.62"
"BUDAPEST";"Budapest XI.ker.";"5";"Dr. Józsa István";"MSZP-EGYÜTT-DK-PM-MLP";"19643";"36.71"
"BUDAPEST";"Budapest XI.ker.";"6";"Benyovszky Gábor";"MUNKÁSPÁRT";"262";"0.49"
"BUDAPEST";"Budapest XI.ker.";"7";"Petre-Varga Fruzsina Zsuzsanna";"SEM";"534";"1.0"
"BUDAPEST";"Budapest XII.ker.";"1";"Mile Melinda";"SEM";"479";"0.91"
"BUDAPEST";"Budapest XII.ker.";"2";"Dr. Németh Julianna Erzsébet";"FKGP";"139";"0.26"
"BUDAPEST";"Budapest XII.ker.";"3";"Bartha Attila";"4K!";"269";"0.51"
"BUDAPEST";"Budapest XII.ker.";"4";"Hajdu Mária";"LMP";"5321";"10.11"
"BUDAPEST";"Budapest XII.ker.";"5";"Szávay István";"JOBBIK";"3220";"6.12"
"BUDAPEST";"Budapest XII.ker.";"7";"Szuna Ferenc";"KTI";"157";"0.3"
